,EMT_Genes
621,SMAD2
622,SMAD3
623,SMAD4
624,SMARCA1
625,SMTN
626,SMURF1
627,SNAI1
628,SNAI2
629,SNAI3
630,SNCAIP
631,SND1
632,SOAT1
633,SOBP
634,SOD2
635,SORL1
636,SOX1
637,SOX9
638,SP5
639,SPA17
640,SPARC
641,SPINT1
642,SPINT2
643,SPOCK1
644,SPRR1B
645,SPRR3
646,SRM
647,SRPX
648,SRXN1
649,SSH3
650,ST14
651,STAMBPL1
652,STAP2
653,STAT1
654,STAT3
655,STEAP1
656,STIL
657,STK17A
658,STMN1
659,STOM
660,STRA6
661,SULF1
662,SYNGR2
663,TACC3
664,TACSTD2
665,TCF3
666,TCF4
667,TFDP1
668,TFPI
669,TGFA
670,TGFB1
671,TGFB1I1
672,TGFB2
673,TGFB3
674,TGFBI
675,TGFBR1
676,TGFBR2
677,TGFBR3
678,THBS2
679,THBS3
680,THY1
681,TIMM10
682,TIMP3
683,TJP2
684,TKT
685,TMC6
686,TMEFF1
687,TMEM158
688,TMEM59
689,TMPO
690,TMPRSS2
691,TMPRSS4
692,TNC
693,TNFAIP3
694,TNFAIP6
695,TNFRSF10A
696,TNFRSF12A
697,TNFRSF19
698,TNFSF13
699,TNK1
700,TNXB
701,TOB1
702,TOP2A
703,TOX3
704,TP53INP1
705,TP63
706,TPM2
707,TRIM28
708,TRIM29
709,TRIM31
710,TRPC1
711,TSC22D3
712,TSPAN1
713,TSPAN13
714,TSPAN15
715,TTC39A
716,TUBA1A
717,TUBA3C
718,TUBA3D
719,TUBA4A
720,TUBA8
721,TUBB
722,TUBB3
723,TUBB4B
724,TUBB6
725,TUBBP5
726,TUBG1
727,TWIST1
728,TWIST2
729,TYMS
730,UBA52
731,UBE2H
732,UBE2S
733,UBE2T
734,UCK2
735,UGGT2
736,UGT1A1
737,UHRF1
738,UPP1
739,USP15
740,VAMP8
741,VAV3
742,VCAN
743,VDAC1P2
744,VEGFA
745,VEGFC
746,VGLL1
747,VIM
748,VLDLR
749,VNN1
750,WISP1
751,WNT1
752,WNT10A
753,WNT10B
754,WNT11
755,WNT16
756,WNT2
757,WNT2B
758,WNT3
759,WNT3A
760,WNT4
761,WNT5A
762,WNT5B
763,WNT6
764,WNT7A
765,WNT7B
766,WNT8A
767,WNT8B
768,WNT9A
769,WNT9B
770,XBP1
771,YEATS4
772,YRDC
773,YWHAH
774,ZBTB16
775,ZCCHC6
776,ZEB1
777,ZNF165
778,ZNF367
779,ZNF608
780,ZWINT
